Brnd_Name,Total # of Manufacturers,2018 Spent on Drug,2019 Spent on Drug,2020 Spent on Drug,2021 Spent on Drug,2022 Spent on Drug
Fenofibrate,47,"$35,942,591.89","$30,309,525.49","$24,342,958.00","$25,920,530.26","$25,613,148.99"
Levetiracetam*,45,"$59,368,308.87","$59,840,726.25","$62,865,452.48","$68,133,681.32","$65,961,386.91"
Ondansetron HCl*,35,"$46,050,815.89","$46,304,016.15","$41,405,147.41","$44,536,173.02","$67,141,020.15"
Potassium Chloride*,35,"$64,766,881.86","$65,270,749.90","$64,800,553.19","$62,721,535.64","$56,491,152.62"
Glycopyrrolate*,33,"$11,681,319.97","$18,009,014.40","$21,193,257.77","$25,076,100.06","$31,818,686.58"
Acyclovir*,33,"$24,110,075.31","$26,036,780.44","$23,231,624.19","$22,265,142.81","$20,978,701.16"
Gabapentin,33,"$183,987,939.27","$192,248,633.78","$203,367,279.53","$206,718,043.65","$197,898,390.53"
Nystatin*,30,"$36,876,675.09","$31,858,101.03","$27,015,333.97","$28,838,448.56","$28,588,157.72"
Doxycycline Hyclate*,30,"$30,095,327.06","$31,112,116.68","$27,723,618.45","$38,054,364.32","$46,313,695.00"
Metformin HCl,30,"$54,931,254.08","$54,425,780.53","$53,592,168.80","$60,473,924.15","$68,602,313.88"
Ketorolac Tromethamine*,30,"$83,456,269.20","$105,226,891.20","$112,327,590.05","$123,693,865.96","$130,106,207.14"
Pantoprazole Sodium*,30,"$38,136,803.00","$51,761,162.57","$67,550,519.64","$78,225,156.70","$79,126,852.34"
Fluoxetine HCl,29,"$64,840,924.79","$65,994,001.48","$68,800,986.21","$72,040,499.92","$76,019,476.94"
Azithromycin*,29,"$83,997,604.99","$80,115,684.91","$54,051,119.11","$57,546,309.36","$68,636,076.77"
Oxycodone HCl,29,"$53,908,167.22","$64,126,939.76","$74,002,079.61","$85,898,764.19","$74,714,512.00"
Furosemide*,28,"$22,977,887.01","$30,382,233.14","$33,481,050.56","$35,856,278.84","$37,927,274.73"
Clobetasol Propionate,27,"$61,353,562.87","$41,141,855.56","$33,579,249.82","$39,280,772.25","$36,284,087.16"
Metronidazole*,27,"$70,740,286.54","$70,325,039.10","$60,962,212.53","$61,937,410.56","$61,131,201.18"
Bupropion XL,27,"$66,717,208.33","$69,890,720.24","$74,274,787.85","$87,282,287.10","$92,775,742.19"
Diclofenac Sodium*,27,"$62,015,639.15","$60,153,429.40","$72,746,631.11","$71,187,829.79","$81,050,023.18"
Labetalol HCl*,26,"$13,277,414.74","$15,677,437.56","$16,311,572.74","$20,169,432.16","$18,678,340.08"
Montelukast Sodium,26,"$97,380,474.73","$94,875,538.95","$83,531,189.94","$81,782,999.56","$79,658,463.51"
Zoledronic Acid,26,"$4,673,886.88","$4,922,725.95","$4,536,979.08","$5,165,352.27","$4,140,183.45"
Oxaliplatin,25,"$22,920,918.14","$25,312,284.03","$12,982,310.79","$12,301,474.15","$10,097,623.00"
Methocarbamol*,25,"$11,711,475.53","$16,154,726.43","$18,011,482.24","$20,921,901.11","$21,216,718.62"
Atorvastatin Calcium,25,"$115,823,776.49","$134,135,388.49","$135,176,581.09","$146,280,841.72","$149,429,535.85"
Triamcinolone Acetonide*,25,"$47,321,979.62","$49,488,894.27","$48,382,745.05","$56,695,552.27","$64,314,687.66"
Famotidine*,25,"$21,945,589.84","$34,138,178.26","$106,893,414.42","$148,514,489.00","$125,356,961.18"
Celecoxib,24,"$15,333,041.16","$15,941,056.75","$20,972,415.16","$24,991,279.57","$24,842,298.80"
Losartan Potassium,24,"$30,356,749.43","$36,460,231.25","$52,402,417.64","$56,004,705.55","$60,799,871.33"
Promethazine HCl*,24,"$26,500,359.05","$31,669,501.47","$31,295,731.60","$32,074,253.44","$27,433,797.88"
Metoprolol Tartrate*,24,"$20,785,367.61","$25,498,119.60","$26,653,422.17","$27,596,780.56","$26,255,687.89"
Doxepin HCl*,24,"$18,912,738.41","$19,801,116.17","$38,046,868.26","$35,423,447.66","$27,178,829.72"
Baclofen*,23,"$42,570,541.39","$42,268,762.64","$42,422,780.40","$42,802,223.76","$41,230,936.41"
Amlodipine Besylate,23,"$50,526,804.82","$60,534,159.62","$60,957,818.90","$65,617,839.80","$69,738,405.30"
Lorazepam*,23,"$28,322,457.11","$34,710,126.02","$46,768,524.42","$39,248,621.20","$34,864,856.54"
Lidocaine HCl*,23,"$33,190,005.38","$49,791,845.42","$65,368,918.09","$74,326,709.72","$62,994,780.19"
Lidocaine,23,"$83,693,816.45","$65,529,529.22","$69,699,987.15","$69,935,575.75","$74,513,941.92"
Fosaprepitant Dimeglumine,23,$0.00,"$1,828,575.41","$15,936,415.94","$14,011,806.22","$20,505,289.93"
Piperacillin-Tazobactam,23,"$7,244,020.62","$11,873,950.18","$14,404,108.74","$16,222,334.82","$20,974,989.95"
Daptomycin,23,"$53,391,518.98","$67,000,031.70","$57,451,795.78","$56,160,503.98","$40,305,179.47"
Phenylephrine HCl*,23,"$4,502,618.78","$6,993,238.38","$10,326,052.84","$11,171,055.77","$9,368,542.29"
