2018 Medicare Units Produced,2019 Medicare Units Produced,2020 Medicare Units Produced,2021 Medicare Units Produced,2022 Medicare Units Produced
577407.0,766113.0,774007.0,980479.0,1225659.0
3950950.0,5035193.557,3138435.55,1787258.0,1539520.928
1454.0,6561.0,18466.0,16130.0,34541.0
2502.0,1633.0,1067.0,3056.0,4582.0
538282533.1629999,528986619.972,548070351.81,545399444.2490001,522524585.28900003
12467.0,2315.0,2324.0,5529.0,18470.0
4048740.0,2963139.0,3450842.5,3570478.0,3551685.0
617.0,0.0,0.0,0.0,1140.0
3435263618.218,3862865329.425,3778040410.055,4014572596.594,4245390992.044
18019937.379,19598954.520999998,15352769.02,15894356.559999999,21974013.132
203.0,185.0,113.0,183.0,86.0
10821236.8,22751372.086999997,26140181.6,30956429.631,27984673.062000003
218241.0,311247.0,14895.0,93906.0,465529.0
0.0,0.0,2847.48,11221.56,15189.0
3134346.5,4184721.5,4859551.4,1682724.5,625977.5
113518495.2,457969681.681,426675379.592,372219595.42,321237591.038
0.0,0.0,68250.0,26940.0,3630.0
6411339.0,2881507.0,2663434.0,2482924.0,2093458.1
0.0,0.0,89.0,2660.5,4943.0
252738.0,253328.286,251777.0,232803.0,205989.0
13446764.154,6937797.5,4449004.0,737394.0,569780.357
3928676217.35,3639809863.878,3339601453.823,2280553982.517,2017512118.7910001
24105731.496999998,17250225.018,10117661.692,6199300.4969999995,6916706.488
3985263.0,3797756.957,4431892.0,4682497.0,4146588.0
0.0,0.0,0.0,0.0,25650.0
408698.108,789417.312,817928.316,969922.608,191920.8
2931849.0,16472396.0,6887341.0,168825.0,66960.0
0.0,0.0,0.0,0.0,33.0
0.0,0.0,75250.0,83750.0,141100.0
0.0,0.0,0.0,5430613.5,251190072.85500002
7130.0,44244.0,66632.0,61421.0,77170.0
903390738.0,1044865619.8199999,1226535179.0,1452580420.19,1776355917.01
15039.0,64761.0,125560.0,185111.0,51345.0
0.0,0.0,2044605.0,2923483.0300000003,263555.0
132321560.606,233625405.854,342800074.282,388862246.41899997,537512182.475
3370.0,16848.0,58274.0,99303.0,161923.0
0.0,3208.5,3918.0,3102.0,2280.0
27518491.158999998,23740956.076,25076667.496,28275525.237,17387423.799
610215.5,399117.167,330835.5,815899.6680000001,404887.5
11507483.5,8220910.5,7512587.0,6080453.0,5740523.5
0.0,0.0,0.0,0.0,2730.0
3615704.9,4473502.666,4701287.544,4706634.535,4994925.097
