2018 Medicare Spent,2019 Medicare Spent,2020 Medicare Spent,2021 Medicare Spent,2022 Medicare Spent
43734.9,59081.26,58282.33,82498.98,102919.57
2358740.18,2893600.46,1672545.21,816638.2,575464.5
6014.41,6993.69,2835.2,1507.05,3721.28
447.2,313.45,173.65,555.22,7350.2
5188973057.11,5987395996.24,6877768750.59,8038633037.6,9529774415.61
182897.68,35343.08,38403.26,76359897.03999999,251117591.21
209066402.74,311931513.66,416044321.57,470863042.41,528932688.86
129.08,0.0,0.0,0.0,190.3
864556964.1489999,973920709.12,951353365.55,992498890.65,1170510618.7
18015756.36,21338069.09,25607657.94,28855148.78,43629283.2
44237.04,97963.13,58454.93,62839.98,17102.49
3941834.36,7246796.109999999,9173292.36,12027470.95,16997831.62
58132.5,73002.5,4715.78,37118.23,211796.76
0.0,0.0,107433.16,446122.5,616094.0
352727.72000000003,387338.41000000003,394292.48,168436.75,65738.18
29326758.23,86285308.10000001,61754318.94,54244513.39,45867380.86
0.0,0.0,1198452.98,491011.2,67714.86
282276839.85,113970354.11,92413968.34,81098862.00999999,71705187.83
0.0,0.0,2260.43,68012.86,134320.61
6031495.53,4918165.72,4159132.54,3391552.9899999998,2900773.8000000003
85944882.18,52952973.96,36113387.87,4505609.71,2820127.41
1667128139.6399999,1467657302.39,1277387716.31,828392880.6,690693580.63
17968628.57,21802581.36,8835481.87,3554853.99,10133181.14
984357054.3100001,1038023798.49,1344957479.79,1506148240.71,1421034377.65
0.0,0.0,0.0,0.0,440308.89
26305604.98,51287845.86,53370720.19,63707064.02,12345512.51
1447781.55,8353180.08,3447956.0,90928.33,34732.8
0.0,0.0,0.0,0.0,823081.43
0.0,0.0,1038768.48,1155777.05,3019121.16
0.0,0.0,0.0,2150199.45,37955647.07
24973.52,50285.69,60337.049999999996,63012.09,55240.72
3358103.3600000003,3807894.19,4222126.55,4932177.83,13330698.13
6673700.96,29663423.97,58650993.03,89427238.59,26295454.540000003
0.0,0.0,263358.85,408871.37,22445.589999999997
200354195.28,314878838.11,388075958.97,444797872.84,632036187.26
3160142.81,8178777.61,18925776.22,34706105.14,60589108.15
0.0,19207847.56,23580460.78,19232796.87,14722441.61
62043068.45,53002335.21,66893545.74,79662903.42999999,52161249.09
7145535.09,4524771.609999999,2801569.86,11065837.17,5443043.44
47064115.870000005,43257972.019999996,43991641.28,37244786.92,36586049.32
0.0,0.0,0.0,0.0,1258157.84
81263883.91,162666711.24,229151177.45,283766930.46000004,347665621.0
4931.1,5040.41,4792.24,13231.7,10119.54
152144.19,761371.02,696343.68,91322.43,77624.01
630365.57,550771.29,194326.78999999998,107385.18,95803.43000000001
416406510.55,398836343.28,339669859.96,161501146.85,44092882.85
308933390.72,342486470.3301,401695160.84000003,370471000.53000003,435257702.51
253044.77,381581.94,1306019.49,2275058.16,2121960.06
125133485.7,230400423.07,360767593.34000003,440984653.78000003,534069771.51
0.0,0.0,0.0,0.0,164.93
1809.31,1840.3200000000002,2312.25,2437.25,1901.25
0.0,0.0,448360.10000000003,817694.95,1160828.5
139229090.70000002,198642966.10999998,242282126.14,278612634.1,349777279.13
0.0,0.0,111163.84,870934.1000000001,1282956.6500000001
3253311.99,2942262.03,1447463.3,183557.75,34096.21
4018457980.35,4527696123.68,4950910767.59,5544624707.5,5841208806.59
49736653.88,55918448.97,58026492.15,68468937.58,90961369.76
102744450.55,194429837.22,239931030.51999998,143380991.49,12111603.719999999
9426445.23,9803245.73,10699121.04,2450188.22,355893.49
9699143.08,8326485.99,8239657.35,10762750.48,12675534.36
0.0,0.0,253921.86,856355.8200000001,707506.4500000001
0.0,0.0,22611.26,54467.54,84652.24
18775929.67,15239471.64,13993246.28,28948822.03,37827635.82
0.0,0.0,6205470.17,9665207.57,10199978.9
0.0,2112489.82,9527826.649999999,19480517.18,40873130.45
1259.1999999999998,4109.84,1405.02,1655.25,1195.1399999999999
0.0,0.0,0.0,33502.83,44705.79
475801890.9,368043888.4,380713795.54,404432197.0,473845317.67
35967807.45,52431417.879999995,26224075.8,7624736.57,6226487.0
976677.87,3589584.44,3707916.29,1299577.47,104674.25
3136693.59,2364628.28,1416800.79,1273315.75,961067.97
239679289.29,489390056.31,754811701.2,831994327.51,787854458.4
1908571.4500000002,2154513.6599999997,2803861.83,2485469.26,2810938.73
123.38,122.76,177.25,377.91,347.76
36465.71,38291.32,28480.07,6669.37,2736.98
3047366.56,7541389.49,5883618.16,2714502.14,307454.06
0.0,0.0,8682124.57,22630528.32,14877810.99
81242.4,153276.15000000002,141662.86,133801.43,139478.49
3043035485.16,3115889983.46,3236974674.31,3932366545.23,4678957487.76
5140405.8,123829933.19,376350622.33000004,624354021.03,906185656.89
62215.31,715364.0900000001,4313203.65,7211186.84,11734455.56
1324671.37,10054574.0,16524294.55,22136473.5,26798624.5
0.0,0.0,0.0,0.0,773.93
632666.41,1038316.81,1831777.9000000001,2281932.21,3087991.4699999997
1754919641.9,1848859868.99,2158243521.53,2230943631.84,2334739849.78
14016344.53,21860514.93,21531988.62,16872235.41,16242510.229999999
0.0,0.0,0.0,0.0,3661.72
24354528.53,19557388.44,10526019.74,15836154.19,18884747.880000003
0.0,0.0,5476.65,6017.38,6462.67
3435510.0599999996,3251779.2,4876773.6,4276979.8,5835978.42
6240766.32,6165448.98,3092235.37,1707890.55,2052587.25
20498007.54,25153044.78,28916900.74,27396500.38,25669104.44
0.0,0.0,0.0,0.0,9885348.49
0.0,0.0,75982.2,233184.9,213733.34
117527615.94,200302292.65,204034572.07,228805032.9,267570640.89000002
5117132.86,7788067.98,12423596.27,14866328.19,13393358.33
0.0,2444261.85,6826181.76,10820824.59,17155419.810000002
7082171.58,7770048.18,7612124.66,7533587.4,7438959.2
0.0,0.0,0.0,4047058.65,16547290.49
8383.77,8530.15,4863.13,3583.95,3111.34
548148.88,3459790.09,4360276.3100000005,9191822.01,5722830.86
0.0,57429.6,663859.3099999999,1201410.49,1304696.48
1563712666.59,1445620770.83,1464645396.48,1244696377.139,1369192264.69
98630028.12,103808921.6,96791294.38,68068050.69,124029814.15
912859.76,1101059.41,1074024.84,829265.0399999999,712191.8799999999
23485329.81,23039262.66,18321867.33,11577478.55,8918223.16
5605587.85,4616582.75,5543347.06,4381472.09,4077389.94
1189917.06,796123.48,579862.03,424940.83999999997,347613.07000000007
646813.25,54552.02,287928.11,478394.5,963727.4
110533259.58999999,113503902.67,37488706.42,15607922.18,13337165.459999999
47288.21,30668.79,22389.46,13089.61,14080.39
0.0,431699.04,1203742.15,1594938.51,2235180.89
4392883.48,2603527.52,1253823.36,1004580.76,694231.03
19223679.099999998,19588993.630000003,19055450.08,5448266.970000001,719114.2000000001
82213884.01,85487415.38000001,93407236.67,111021695.26,107558088.3
320302.66,202399.4,88767.0,36552.87,6784.5
0.0,0.0,0.0,0.0,6454923.83
0.0,0.0,0.0,0.0,5485812.1
