Brnd_Name,Mftr_Name,Tot_Mftr
1st Tier Unifine Pentips,Owen Mumford Us,1
1st Tier Unifine Pentips Plus,Owen Mumford Us,1
Abacavir,Aurobindo Pharm,1
Abacavir,Camber Pharmace,1
Abacavir,"Cipla USA, Inc.",1
Abacavir,Major Pharmaceu,1
Abacavir,Mylan,1
Abacavir,Rising Pharm,1
Abacavir-Lamivudine,Aurobindo Pharm,1
Abacavir-Lamivudine,Burel Pharmaceu,1
Abacavir-Lamivudine,"Cipla USA, Inc.",1
Abacavir-Lamivudine,Lupin Pharmaceu,1
Abacavir-Lamivudine-Zidovudine,Lupin Pharmaceu,1
Abelcet,Leadiant Biosci,1
Abilify,Otsuka America,1
Abilify Maintena,Otsuka America,1
Abilify Mycite,Otsuka America,1
Abiraterone Acetate,Amneal Pharmace,1
Abiraterone Acetate,Apotex Corp,1
Abiraterone Acetate,Bluepoint/Oncop,1
Abiraterone Acetate,"Celltrion USA,",1
Abiraterone Acetate,"Civicascript, L",1
Abiraterone Acetate,Dr.Reddy'S Lab,1
Abiraterone Acetate,Florida Pharmac,1
Abiraterone Acetate,Glenmark Pharma,1
Abiraterone Acetate,Major Pharmaceu,1
Abiraterone Acetate,Mylan,1
Abiraterone Acetate,Northstar Rx Ll,1
Abiraterone Acetate,Novadoz Pharmac,1
Abiraterone Acetate,Novugen Pharma,1
Abiraterone Acetate,Patriot Pharmac,1
Abiraterone Acetate,Rising Pharm,1
Abiraterone Acetate,Teva USA,1
Abiraterone Acetate,West-Ward/Hikma,1
Abiraterone Acetate,Wockhardt USA L,1
Abraxane,Celgene/BMS,1
Absorica,Sun Pharmaceuti,1
Absorica Ld,Sun Pharmaceuti,1
Acamprosate Calcium,AHP,1
Acamprosate Calcium,Glenmark Pharma,1
Acamprosate Calcium,Marlex Pharm.,1
Acamprosate Calcium,Mylan,1
Acamprosate Calcium,Teva USA,1
Acamprosate Calcium,Zydus Pharmaceu,1
Acanya,Bausch Health U,1
Acarbose,Avet Pharmaceut,1
Acarbose,Roxane/West-War,1
Acarbose,Strides Pharma,1
Acarbose,Virtus Pharmace,1
Accolate,Par Pharmaceuti,1
Accupril,Pfizer US Pharm,1
Accuretic,Pfizer US Pharm,1
Accutane,"Jg Pharma, Inc.",1
Acebutolol HCl,Amneal Pharmace,1
Acebutolol HCl,Ani Pharmaceuti,1
Acebutolol HCl,Marlex Pharm.,1
Acetamin-Caff-Dihydrocodeine,Xspire Pharma,1
Acetaminophen,B.Braun,1
Acetaminophen,Leucadia/Hikma,1
Acetaminophen,Sandoz,1
Acetaminophen-Codeine,Amneal Pharmace,1
Acetaminophen-Codeine,Aurobindo Pharm,1
Acetaminophen-Codeine,Eywa Pharma Inc,1
Acetaminophen-Codeine,Hi-Tech/Akorn C,1
Acetaminophen-Codeine,Mallinckrodt Ph,1
Acetaminophen-Codeine,Pharm Assoc Inc,1
Acetaminophen-Codeine,Qualitest/Par P,1
Acetaminophen-Codeine,Ranbaxy Pharmac,1
Acetaminophen-Codeine,Teva USA,1
Acetazolamide,AHP,1
Acetazolamide,Advagen Pharma,1
Acetazolamide,Avet Pharmaceut,1
Acetazolamide,Breckenridge,1
Acetazolamide,Eywa Pharma Inc,1
Acetazolamide,Lannett Co. Inc,1
Acetazolamide,Lifestar Pharma,1
Acetazolamide,Major Pharmaceu,1
Acetazolamide,Marlex Pharm.,1
Acetazolamide,Novitium/Ani Ph,1
Acetazolamide,Strides Pharma,1
Acetazolamide,Taro Pharm USA,1
Acetazolamide,"Trupharma, LLC.",1
Acetazolamide ER,Accord Healthca,1
Acetazolamide ER,Alembic Pharmac,1
Acetazolamide ER,Avet Pharmaceut,1
Acetazolamide ER,Ingenus Pharmac,1
Acetazolamide ER,"Micro Labs USA,",1
Acetazolamide ER,Nostrum Laborat,1
Acetazolamide ER,Zydus Pharmaceu,1
Acetic Acid*,B.Braun,1
Acetic Acid*,Baxter Healthca,1
Acetic Acid*,Hi-Tech/Akorn C,1
Acetic Acid*,Hospira/Icu Med,1
Acetic Acid*,Morton Grove Ph,1
Acetic Acid*,Rising Pharm,1
Acetic Acid*,"Trupharma, LLC.",1
Acetylcysteine*,Amer. Regent,1
Acetylcysteine*,App/Fresenius K,1
Acetylcysteine*,Auromedics-Eugi,1
Acetylcysteine*,Fresenius Kabi*,1
Acetylcysteine*,Hospira/Pfizer,1
Acetylcysteine*,Perrigo/Padagis,1
Acetylcysteine*,Sagent Pharmace,1
Aciphex,Eisai/ Woodward,1
Aciphex,Woodward Pharma,1
Acitretin,Amneal Pharmace,1
Acitretin,Avkare,1
Acitretin,Mylan,1
Acitretin,Prasco Labs,1
Acitretin,Sigmapharm Labo,1
Acitretin,Teva USA,1
Actemra Actpen,"Genentech, Inc.",1
Actemra*,"Genentech, Inc.*",1
Acthar,Mallinckrodt Ph,1
Acthib,Sanofi-Pasteur,1
Actimmune,Horizon Therape,1
Activella,Amneal Pharmace,1
Actonel,Actavis/Allerga,1
Actoplus Met,Takeda Pharmace,1
Actos,Takeda Pharmace,1
Acular,Allergan Inc.,1
Acular Ls,Allergan Inc.,1
Acuvail,Allergan Inc.,1
Acyclovir Sodium,Auromedics-Eugi,1
Acyclovir Sodium,Fresenius Kabi,1
Acyclovir*,AHP,1
Acyclovir*,Actavis/Teva*,1
Acyclovir*,Alembic Pharmac,1
Acyclovir*,Amneal Pharmace,1
Acyclovir*,Apotex Corp,1
Acyclovir*,Avet Pharmaceut,1
Acyclovir*,Bionpharma Inc.,1
Acyclovir*,Camber Pharmace,1
Acyclovir*,Carlsbad Tech,1
Acyclovir*,Chartwell Rx Ll,1
Acyclovir*,Cosette Pharmac,1
Acyclovir*,Fougera/Sandoz,1
Acyclovir*,Glenmark Pharma,1
Acyclovir*,Hi-Tech/Akorn C,1
Acyclovir*,Macleods Pharma,1
Acyclovir*,Major Pharmaceu,1
Acyclovir*,Mylan Instituti,1
Acyclovir*,Mylan*,1
Acyclovir*,Nivagen Pharmac,1
Acyclovir*,Northstar Rx Ll,1
Acyclovir*,Novitium/Ani Ph,1
Acyclovir*,Padagis,1
Acyclovir*,Quinn Pharmaceu,1
Acyclovir*,Ranbaxy Pharmac,1
Acyclovir*,Ranbaxy/Sun Pha,1
Acyclovir*,Taro Pharm USA,1
Acyclovir*,Teva USA*,1
Acyclovir*,Tolmar Inc.,1
Acyclovir*,Torrent Pharmac,1
Acyclovir*,Viona Pharmaceu*,1
Acyclovir*,Vistapharm/Pai,1
Acyclovir*,"Xiromed, LLC",1
Acyclovir*,Yiling Pharmace,1
Acyclovir*,Zydus Pharmaceu*,1
Aczone,"Almirall, LLC",1
Adacel Tdap,Sanofi-Pasteur,1
Adakveo,Novartis,1
Adapalene,Actavis/Teva,1
Adapalene,Alembic Pharmac,1
Adapalene,Fougera/Sandoz,1
Adapalene,Glenmark Pharma,1
Adapalene,Mayne Pharma In,1
Adapalene,Perrigo/Padagis,1
Adapalene,Prasco Labs,1
Adapalene,Rochester Pharm,1
Adapalene,Sandoz,1
Adapalene,Taro Pharm USA,1
Adapalene-Benzoyl Peroxide,Glenmark Pharma,1
Adapalene-Benzoyl Peroxide,Mayne Pharma In,1
Adapalene-Benzoyl Peroxide,Padagis,1
Adapalene-Benzoyl Peroxide,Perrigo/Padagis,1
Adapalene-Benzoyl Peroxide,Prasco Labs,1
Adapalene-Benzoyl Peroxide,Taro Pharm USA,1
Adapalene-Benzoyl Peroxide,Teva USA,1
Adapalene-Benzoyl Peroxide,Viona Pharmaceu,1
Adbry,Leo Pharma Inc.,1
Adcetris,Seagen Inc.,1
Adcirca,Eli Lilly & Co.,1
Adderall,Teva USA,1
Adderall XR,Shire US Inc.,1
Adefovir Dipivoxil,Apotex Corp,1
Adefovir Dipivoxil,Sigmapharm Labo,1
Adempas,"Bayer,Pharm Div",1
Adlarity,Corium/Prasco L,1
Adlyxin,Sanofi-Aventis,1
Admelog,Sanofi-Aventis,1
Admelog Solostar,Sanofi-Aventis,1
Adrenalin,Par Pharmaceuti,1
Advair Diskus,Glaxosmithkline,1
Advair HFA,Glaxosmithkline,1
Advocate Pen Needle,Diabetic Supply,1
Advocate Pen Needles,Diabetic Supply,1
Advocate Syringes,Diabetic Supply,3
Adzenys XR-ODT,Neos Brands/Ayt,1
Afinitor,Novartis,1
Afinitor Disperz,Novartis,1
Afrezza,Mannkind Corpor,1
Agrylin,Shire US Inc.,1
Aimovig Autoinjector,Amgen,1
Airduo Digihaler,Teva Specialty,1
Airduo Respiclick,Teva Specialty,1
Ajovy Autoinjector,Teva USA,1
Ajovy Syringe,Teva USA,1
Ak-Poly-Bac,Akorn Inc.,1
Aklief,Galderma Labora,1
Akten,Akorn Inc/Thea,1
Akynzeo,Helsinn Therape,2
Ala-Cort,Crown Laborator,1
Ala-Scalp,"Derm Ventures,",1
Albendazole,Amneal Pharmace,1
Albendazole,Camber Pharmace,1
Albendazole,"Cipla USA, Inc.",1
Albendazole,Dr.Reddy'S Lab,1
Albendazole,Edenbridge Phar,1
Albendazole,Northstar Rx Ll,1
Albendazole,Novadoz Pharmac,1
Albendazole,Teva USA,1
Albendazole,Zydus Pharmaceu,1
Albumin (Human),Octapharma USA,1
Albutein,Grifols,1
Albuterol Sulfate HFA,"Cipla USA, Inc.",1
Albuterol Sulfate HFA,"Civica, Inc.",1
Albuterol Sulfate HFA,Exelan Pharmace,1
Albuterol Sulfate HFA,Lupin Pharmaceu,1
Albuterol Sulfate HFA,Par Pharm.,1
Albuterol Sulfate HFA,Perrigo/Padagis,1
Albuterol Sulfate HFA,Prasco Labs,1
Albuterol Sulfate HFA,Sandoz,1
Albuterol Sulfate HFA,Teva USA,1
Albuterol Sulfate HFA,West-Ward/Hikma,1
Albuterol Sulfate*,AHP*,1
Albuterol Sulfate*,Actavis/Teva*,1
Albuterol Sulfate*,Amneal Pharmace,1
Albuterol Sulfate*,Chartwell Rx Ll,1
Albuterol Sulfate*,Hi-Tech/Akorn C*,1
Albuterol Sulfate*,Mutual Pharm Co,1
Albuterol Sulfate*,Mylan*,1
Albuterol Sulfate*,Nephron Corp,1
Albuterol Sulfate*,Nivagen Pharmac,1
Albuterol Sulfate*,Quagen Pharmace,1
Albuterol Sulfate*,Rising Pharm,1
Albuterol Sulfate*,Ritedose Pharma,1
Albuterol Sulfate*,Sun Pharma Glob,1
Albuterol Sulfate*,Virtus Pharmace,1
Albuterol Sulfate*,Zydus Pharmaceu,1
Alclometasone Dipropionate,Fougera/Sandoz,1
Alclometasone Dipropionate,Glenmark Pharma,1
Alclometasone Dipropionate,Taro Pharm USA,1
Alcohol Pads,Global Diabetic,1
Alcohol Pads,Home Aide Diagn,1
Alcohol Prep Pads,Arise Medical L,1
Alcohol Prep Pads,CVS,1
Alcohol Prep Pads,Diabetic Supply,1
Alcohol Prep Pads,Dynarex Corp.,1
Alcohol Prep Pads,Fifty50 Pharmac,1
Alcohol Prep Pads,Hm-Strategic So,1
Alcohol Prep Pads,Home Aide Diagn,1
Alcohol Prep Pads,Kroger Co,1
Alcohol Prep Pads,One Pharmaceuti,1
Alcohol Prep Pads,Phoenix Healthc,1
Alcohol Prep Pads,Rugby,1
Alcohol Prep Pads,"Sdi USA, Inc.",1
Alcohol Prep Pads,Simple Diagnost,1
Alcohol Prep Pads,Sm-Strategic So,1
Alcohol Prep Pads,Specialty Med,1
Alcohol Prep Pads,US Diagnostics,1
Alcohol Prep Pads,Walgreen Co.,1
Alcohol Prep Pads,Xpress Medical,1
Alcohol Swab,Amerisource-Gnp,1
Alcohol Swabs,Chain Drug,1
Alcohol Swabs,Kroger Co,1
Alcohol Swabs,Leader,1
Alcohol Swabs,Meijer Inc.,1
Alcohol Swabs,Perrigo Diabete,1
Alcohol Swabs,Rite Aid Corp.,1
Alcohol Swabs,Target Corp,1
Alcohol Swabs,Ultimed Inc,1
Alcohol Swabs,Wal-Mart Stores,1
Alcohol Swabs,Walgreen Co.,1
Alcohol Wipes,CVS,1
Alcohol Wipes,Leader,1
Alcohol Wipes,Medicine Shop,1
Alcohol Wipes,Rite Aid Corp.,1
Aldactazide,Pharmaci/Pfizer,1
Aldactone,Pharmaci/Pfizer,1
Aldurazyme,Genzyme,1
Alecensa,"Genentech, Inc.",1
Alendronate Sodium,Aurobindo Pharm,1
Alendronate Sodium,"Cipla USA, Inc.",1
Alendronate Sodium,Exelan Pharmace,1
Alendronate Sodium,Impax/Amneal,1
Alendronate Sodium,Marlex Pharm.,1
Alendronate Sodium,Northstar Rx Ll,1
Alendronate Sodium,Rising Pharm,1
Alendronate Sodium,Tagi Pharma,1
Alendronate Sodium,Virtus Pharmace,1
Alendronate Sodium,West-Ward/Hikma,1
Alfuzosin HCl ER,Aurobindo Pharm,1
Alfuzosin HCl ER,"Cipla USA, Inc.",1
Alfuzosin HCl ER,Exelan Pharmace,1
Alfuzosin HCl ER,Rising Pharm,1
Alfuzosin HCl ER,Sun Pharma Glob,1
Alfuzosin HCl ER,Torrent Pharmac,1
Alfuzosin HCl ER,Unichem Pharmac,1
Alimta,Eli Lilly & Co.,1
Aliskiren,Par Pharm.,1
Aliskiren,Prasco Labs,1
Allopurinol,AHP,1
Allopurinol,Accord Healthca,1
Allopurinol,Actavis/Teva,1
Allopurinol,Arise Pharmaceu,1
Allopurinol,Avet Pharmaceut,1
Allopurinol,Dr.Reddy'S Lab,1
Allopurinol,Major Pharmaceu,1
Allopurinol,Mckesson Packag,1
Allopurinol,Mylan,1
Allopurinol,Mylan Instituti,1
Allopurinol,Northstar Rx Ll,1
Allopurinol,Qualitest/Par P,1
Allopurinol,Ranbaxy/Sun Pha,1
Allopurinol,Rising Pharm,1
Allopurinol,Sun Pharmaceuti,1
Allopurinol,Unichem Pharmac,1
Allopurinol,Zydus Pharmaceu,1
Allzital,Larken Labs,1
Almotriptan Malate,Ajanta Pharma L,1
Almotriptan Malate,Mylan,1
Alocril,Allergan Inc.,1
Alogliptin,Padagis,1
Alogliptin,Perrigo/Padagis,1
Alogliptin-Metformin,Padagis,1
Alogliptin-Metformin,Perrigo/Padagis,1
Alogliptin-Pioglitazone,Perrigo/Padagis,1
Alomide,Alcon/Novartis,1
Alosetron HCl,Actavis/Teva,1
Alosetron HCl,Amneal Pharmace,1
Alosetron HCl,Lifestar Pharma,1
Alosetron HCl,Par Pharm.,1
Alosetron HCl,Rising Pharm,1
Alosetron HCl,Roxane/West-War,1
Alphagan P,Allergan Inc.,1
Alprazolam,Actavis/Teva,1
Alprazolam,Aurobindo Pharm,1
Alprazolam,Breckenridge,1
Alprazolam,Dava Pharmaceut,1
Alprazolam,Greenstone LLC.,1
