Brnd_Name,Gnrc_Name
1st Tier Unifine Pentips,"Pen Needle, Diabetic"
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic"
Abacavir,Abacavir Sulfate
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine
Abelcet,Amphotericin B Lipid Complex
Abilify,Aripiprazole
Abilify Maintena,Aripiprazole
Abilify Mycite,Aripiprazole
Abiraterone Acetate,Abiraterone Acetate
Abraxane,Paclitaxel Protein-Bound
Absorica,Isotretinoin
Absorica Ld,"Isotretinoin, Micronized"
Acamprosate Calcium,Acamprosate Calcium
Acanya,Clindamycin Phos/Benzoyl Perox
Acarbose,Acarbose
Accolate,Zafirlukast
Accupril,Quinapril HCl
Accuretic,Quinapril/Hydrochlorothiazide
Accutane,Isotretinoin
Acebutolol HCl,Acebutolol HCl
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod
Acetaminophen,Acetaminophen
Acetaminophen-Codeine,Acetaminophen With Codeine
Acetazolamide,Acetazolamide
Acetazolamide ER,Acetazolamide
Acetic Acid*,Acetic Acid
Acetylcysteine*,Acetylcysteine
Aciphex,Rabeprazole Sodium
Acitretin,Acitretin
Actemra Actpen,Tocilizumab
Actemra*,Tocilizumab
Acthar,Corticotropin
Acthib,Haemoph B Poly Conj-Tet Tox/PF
Actimmune,"Interferon Gamma-1b,Recomb."
Activella,Estradiol/Norethindrone Acet
Actonel,Risedronate Sodium
Actoplus Met,Pioglitazone HCl/Metformin HCl
Actos,Pioglitazone HCl
Acular,Ketorolac Tromethamine
Acular Ls,Ketorolac Tromethamine
Acuvail,Ketorolac Tromethamine/PF
Acyclovir Sodium,Acyclovir Sodium
Acyclovir*,Acyclovir
Aczone,Dapsone
Adacel Tdap,"Diph,Pertuss(Acell),Tet Vac/PF"
Adakveo,Crizanlizumab-Tmca
Adapalene,Adapalene
Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide
Adbry,Tralokinumab-Ldrm
Adcetris,Brentuximab Vedotin
Adcirca,Tadalafil
Adderall,Dextroamphetamine/Amphetamine
Adderall XR,Dextroamphetamine/Amphetamine
Adefovir Dipivoxil,Adefovir Dipivoxil
Adempas,Riociguat
Adlarity,Donepezil HCl
Adlyxin,Lixisenatide
Admelog,Insulin Lispro
Admelog Solostar,Insulin Lispro
Adrenalin,Epinephrine
Advair Diskus,Fluticasone Propion/Salmeterol
Advair HFA,Fluticasone Propion/Salmeterol
Advocate Pen Needle,"Pen Needle, Diabetic"
Advocate Pen Needles,"Pen Needle, Diabetic"
Advocate Syringes,"Syring-Needl,Disp,Insul,0.3 Ml"
Adzenys XR-ODT,Amphetamine
Afinitor,Everolimus
Afinitor Disperz,Everolimus
Afrezza,"Insulin Regular, Human"
Agrylin,Anagrelide HCl
Aimovig Autoinjector,Erenumab-Aooe
Airduo Digihaler,Fluticasone Propion/Salmeterol
Airduo Respiclick,Fluticasone Propion/Salmeterol
Ajovy Autoinjector,Fremanezumab-Vfrm
Ajovy Syringe,Fremanezumab-Vfrm
Ak-Poly-Bac,Bacitracin/Polymyxin B Sulfate
Aklief,Trifarotene
Akten,Lidocaine HCl/PF
Akynzeo,Fosnetupitant/Palonosetron
Ala-Cort,Hydrocortisone
Ala-Scalp,Hydrocortisone
Albendazole,Albendazole
Albumin (Human),Albumin Human
Albutein,Albumin Human
Albuterol Sulfate HFA,Albuterol Sulfate
Albuterol Sulfate*,Albuterol Sulfate
Alclometasone Dipropionate,Alclometasone Dipropionate
Alcohol Pads,Alcohol Antiseptic Pads
Alcohol Prep Pads,Alcohol Antiseptic Pads
Alcohol Swab,Alcohol Antiseptic Pads
Alcohol Swabs,Alcohol Antiseptic Pads
Alcohol Wipes,Alcohol Antiseptic Pads
Aldactazide,Spironolact/Hydrochlorothiazid
Aldactone,Spironolactone
Aldurazyme,Laronidase
Alecensa,Alectinib HCl
Alendronate Sodium,Alendronate Sodium
Alfuzosin HCl ER,Alfuzosin HCl
Alimta,Pemetrexed Disodium
Aliskiren,Aliskiren Hemifumarate
Allopurinol,Allopurinol
Allzital,Butalbital/Acetaminophen
Almotriptan Malate,Almotriptan Malate
Alocril,Nedocromil Sodium
Alogliptin,Alogliptin Benzoate
Alogliptin-Metformin,Alogliptin Benz/Metformin HCl
Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone
Alomide,Lodoxamide Tromethamine
Alosetron HCl,Alosetron HCl
Alphagan P,Brimonidine Tartrate
Alprazolam,Alprazolam
Alprazolam ER,Alprazolam
Alprazolam Intensol,Alprazolam
Alprazolam ODT,Alprazolam
Alprazolam XR,Alprazolam
Alrex,Loteprednol Etabonate
Altabax,Retapamulin
Altace,Ramipril
Altavera,Levonorgestrel/Ethin.Estradiol
Altoprev,Lovastatin
Altreno,Tretinoin
Alunbrig,Brigatinib
Alvesco,Ciclesonide
Alyacen,Norethindrone-Ethin. Estradiol
Alyq,Tadalafil
Amabelz,Estradiol/Norethindrone Acet
Amantadine,Amantadine HCl
Amaryl,Glimepiride
Ambien,Zolpidem Tartrate
Ambien Cr,Zolpidem Tartrate
Ambisome,Amphotericin B Liposome
Ambrisentan,Ambrisentan
Amcinonide,Amcinonide
Amerge,Naratriptan HCl
Amethia,L-Norgest/E.Estradiol-E.Estrad
Amethyst,Levonorgestrel/Ethin.Estradiol
Amicar,Aminocaproic Acid
Amikacin Sulfate,Amikacin Sulfate
Amiloride HCl,Amiloride HCl
Amiloride-Hydrochlorothiazide,Amiloride/Hydrochlorothiazide
Aminocaproic Acid*,Aminocaproic Acid
Amiodarone HCl*,Amiodarone HCl
Amitiza,Lubiprostone
Amitriptyline HCl,Amitriptyline HCl
Amlodipine Besylate,Amlodipine Besylate
Amlodipine Besylate-Benazepril,Amlodipine Besylate/Benazepril
Amlodipine-Atorvastatin,Amlodipine/Atorvastatin
Amlodipine-Olmesartan,Amlodipine Bes/Olmesartan Med
Amlodipine-Valsartan,Amlodipine Besylate/Valsartan
Amlodipine-Valsartan-HCTZ,Amlodipine/Valsartan/HCThiazid
Ammonium Lactate,Ammonium Lactate
Amnesteem,Isotretinoin
Amondys-45,Casimersen
Amoxapine,Amoxapine
Amoxicillin,Amoxicillin
Amoxicillin-Clavulanate Pot ER,Amoxicillin/Potassium Clav
Amoxicillin-Clavulanate Potass,Amoxicillin/Potassium Clav
Amphetamine Sulfate,Amphetamine Sulfate
Amphotericin B,Amphotericin B
Amphotericin B Liposome,Amphotericin B Liposome
Ampicillin Sodium*,Ampicillin Sodium
Ampicillin Trihydrate,Ampicillin Trihydrate
Ampicillin-Sulbactam*,Ampicillin Sod/Sulbactam Sod
Ampyra,Dalfampridine
Amrix,Cyclobenzaprine HCl
Amvuttra,Vutrisiran Sodium
Amzeeq,Minocycline HCl
Anafranil,Clomipramine HCl
Anagrelide HCl,Anagrelide HCl
Analpram HC*,Hydrocortisone/Pramoxine
Anaspaz,Hyoscyamine Sulfate
Anastrozole,Anastrozole
Androderm,Testosterone
Androgel,Testosterone
Angeliq,Drospirenone/Estradiol
Annovera,Segesterone Ac/Ethin Estradiol
Anoro Ellipta,Umeclidinium Brm/Vilanterol Tr
Antara,"Fenofibrate,Micronized"
Antivert,Meclizine HCl
Anusol-HC,Hydrocortisone
Apexicon E,Diflorasone Diacet/Emollient
Apidra,Insulin Glulisine
Apidra Solostar,Insulin Glulisine
Aplenzin,Bupropion HBr
Apokyn,Apomorphine HCl
Apomorphine HCl,Apomorphine HCl
Apraclonidine HCl,Apraclonidine HCl
Aprepitant,Aprepitant
Apretude,Cabotegravir
Apri,Desogestrel-Ethinyl Estradiol
Apriso,Mesalamine
Aptensio XR,Methylphenidate HCl
Aptiom,Eslicarbazepine Acetate
Aptivus,Tipranavir
Aralast NP,Alpha-1-Proteinase Inhibitor
