Mftr_Name
Owen Mumford Us
Mylan
Rising Pharm
"Cipla USA, Inc."
Major Pharmaceu
Camber Pharmace
Aurobindo Pharm
Lupin Pharmaceu
Burel Pharmaceu
Leadiant Biosci
Otsuka America
Apotex Corp
Glenmark Pharma
Dr.Reddy'S Lab
Novugen Pharma
"Celltrion USA,"
Wockhardt USA L
West-Ward/Hikma
Northstar Rx Ll
Patriot Pharmac
Novadoz Pharmac
Florida Pharmac
"Civicascript, L"
Amneal Pharmace
Bluepoint/Oncop
Teva USA
Celgene/BMS
Sun Pharmaceuti
Marlex Pharm.
AHP
Zydus Pharmaceu
Bausch Health U
Roxane/West-War
Virtus Pharmace
Strides Pharma
Avet Pharmaceut
Par Pharmaceuti
Pfizer US Pharm
"Jg Pharma, Inc."
Ani Pharmaceuti
Xspire Pharma
B.Braun
Leucadia/Hikma
Sandoz
Eywa Pharma Inc
Pharm Assoc Inc
Qualitest/Par P
Mallinckrodt Ph
Ranbaxy Pharmac
Hi-Tech/Akorn C
Lannett Co. Inc
Breckenridge
Lifestar Pharma
Novitium/Ani Ph
Advagen Pharma
Taro Pharm USA
"Trupharma, LLC."
Nostrum Laborat
Accord Healthca
Ingenus Pharmac
Alembic Pharmac
"Micro Labs USA,"
Hospira/Icu Med
Baxter Healthca
Morton Grove Ph
Perrigo/Padagis
Fresenius Kabi*
Hospira/Pfizer
Sagent Pharmace
Auromedics-Eugi
Amer. Regent
App/Fresenius K
Woodward Pharma
Eisai/ Woodward
Avkare
Prasco Labs
Sigmapharm Labo
"Genentech, Inc."
"Genentech, Inc.*"
Sanofi-Pasteur
Horizon Therape
Actavis/Allerga
Takeda Pharmace
Allergan Inc.
Fresenius Kabi
Quinn Pharmaceu
Ranbaxy/Sun Pha
Bionpharma Inc.
Macleods Pharma
Tolmar Inc.
Zydus Pharmaceu*
Carlsbad Tech
Padagis
Actavis/Teva*
Chartwell Rx Ll
Teva USA*
Viona Pharmaceu*
Mylan*
"Xiromed, LLC"
Vistapharm/Pai
Cosette Pharmac
Nivagen Pharmac
Yiling Pharmace
Torrent Pharmac
Mylan Instituti
Fougera/Sandoz
"Almirall, LLC"
Novartis
Mayne Pharma In
Rochester Pharm
Actavis/Teva
Viona Pharmaceu
Leo Pharma Inc.
Seagen Inc.
Eli Lilly & Co.
Shire US Inc.
"Bayer,Pharm Div"
Corium/Prasco L
Sanofi-Aventis
Glaxosmithkline
Diabetic Supply
Neos Brands/Ayt
Mannkind Corpor
Amgen
Teva Specialty
Akorn Inc.
Galderma Labora
Akorn Inc/Thea
Helsinn Therape
Crown Laborator
"Derm Ventures,"
Edenbridge Phar
Octapharma USA
Grifols
Par Pharm.
"Civica, Inc."
Exelan Pharmace
Nephron Corp
AHP*
Quagen Pharmace
Ritedose Pharma
Sun Pharma Glob
Mutual Pharm Co
Hi-Tech/Akorn C*
Home Aide Diagn
Global Diabetic
Simple Diagnost
Phoenix Healthc
Sm-Strategic So
Dynarex Corp.
Specialty Med
Fifty50 Pharmac
"Sdi USA, Inc."
One Pharmaceuti
Rugby
Walgreen Co.
Hm-Strategic So
Xpress Medical
Arise Medical L
CVS
Kroger Co
US Diagnostics
Amerisource-Gnp
Meijer Inc.
Ultimed Inc
Target Corp
Rite Aid Corp.
Perrigo Diabete
Chain Drug
Leader
Wal-Mart Stores
Medicine Shop
Pharmaci/Pfizer
Genzyme
Impax/Amneal
Tagi Pharma
Unichem Pharmac
Mckesson Packag
Arise Pharmaceu
Larken Labs
Ajanta Pharma L
Alcon/Novartis
Dava Pharmaceut
Greenstone LLC.
Bausch & Lomb I
Monarch Phrm
Covis Pharma
Banner Pharmaca
"Athem, LLC"
Jubilant Cadist
