Brnd_Name,Mftr_Name,Tot_Mftr
A & D,Schering-Plough,1
A And D,Bayer Healthcar,1
A And D Diaper Rash,Bayer Healthcar,1
A-Hydrocort,Hospira/Pfizer,1
A-Methapred,Hospira,1
Abacavir,Aurobindo Pharm,1
Abacavir,Camber Pharmace,1
Abacavir,"Cipla USA, Inc.",1
Abacavir,Mylan,1
Abacavir,Rising Pharm,1
Abacavir-Lamivudine,Aurobindo Pharm,1
Abacavir-Lamivudine,Burel Pharmaceu,1
Abacavir-Lamivudine,"Cipla USA, Inc.",1
Abacavir-Lamivudine,Lupin Pharmaceu,1
Abacavir-Lamivudine,Teva USA,1
Abelcet,Leadiant Biosci,1
Abilify Maintena,Otsuka America,1
Abilify Mycite,Otsuka America,1
Abilify*,Otsuka America*,1
Abiraterone Acetate,Amneal Pharmace,1
Abiraterone Acetate,Apotex Corp,1
Abiraterone Acetate,Bluepoint/Oncop,1
Abiraterone Acetate,"Celltrion USA,",1
Abiraterone Acetate,Dr.Reddy'S Lab,1
Abiraterone Acetate,Glenmark Pharma,1
Abiraterone Acetate,Mylan,1
Abiraterone Acetate,Northstar Rx Ll,1
Abiraterone Acetate,Novadoz Pharmac,1
Abiraterone Acetate,Patriot Pharmac,1
Abiraterone Acetate,Rising Pharm,1
Abiraterone Acetate,Teva USA,1
Abiraterone Acetate,West-Ward/Hikma,1
Abiraterone Acetate,Wockhardt USA L,1
Abraxane,Celgene/BMS,1
Absorica,Sun Pharmaceuti,1
Absorica Ld,Sun Pharmaceuti,1
Acamprosate Calcium,Ahp,1
Acamprosate Calcium,Glenmark Pharma,1
Acamprosate Calcium,Mylan,1
Acamprosate Calcium,Teva USA,1
Acamprosate Calcium,Zydus Pharmaceu,1
Acanya,Bausch Health U,1
Acarbose,Avet Pharmaceut,1
Acarbose,Roxane/West-War,1
Acarbose,Strides Pharma,1
Acarbose,Virtus Pharmace,1
Accolate,Par Pharmaceuti,1
Accrufer,Shield Therapeu,1
Accutane,"Jg Pharma, Inc.",1
Acebutolol HCl,Amneal Pharmace,1
Acebutolol HCl,Ani Pharmaceuti,1
Acetadote,Cumberland Phar,1
Acetamin-Caff-Dihydrocodeine,Xspire Pharma,1
Acetaminophen ER,Geri-Care,1
Acetaminophen*,Akron Pharma In,1
Acetaminophen*,Auromedics-Eugi,1
Acetaminophen*,B.Braun,1
Acetaminophen*,Baxter Healthca,1
Acetaminophen*,Fresenius Kabi,1
Acetaminophen*,Geri-Care,1
Acetaminophen*,Leucadia/Hikma,1
Acetaminophen*,Mylan Instituti,1
Acetaminophen*,Pharm Assoc Inc,1
Acetaminophen*,"Plus Pharma,Inc",1
Acetaminophen*,Rugby,1
Acetaminophen*,Sandoz,1
Acetaminophen*,Sandoz/Premier,1
Acetaminophen-Codeine,Ahp,1
Acetaminophen-Codeine,Amneal Pharmace,1
Acetaminophen-Codeine,Aurobindo Pharm,1
Acetaminophen-Codeine,Eywa Pharma Inc,1
Acetaminophen-Codeine,Hi-Tech/Akorn C,1
Acetaminophen-Codeine,Mallinckrodt Ph,1
Acetaminophen-Codeine,Mylan Instituti,1
Acetaminophen-Codeine,Pharm Assoc Inc,1
Acetaminophen-Codeine,Qualitest/Par P,1
Acetaminophen-Codeine,Teva USA,1
Acetazolamide,Advagen Pharma,1
Acetazolamide,Ahp,1
Acetazolamide,Avet Pharmaceut,1
Acetazolamide,Avpak,1
Acetazolamide,Breckenridge,1
Acetazolamide,Eywa Pharma Inc,1
Acetazolamide,Lannett Co. Inc,1
Acetazolamide,Lifestar Pharma,1
Acetazolamide,Major Pharmaceu,1
Acetazolamide,Novitium/Ani Ph,1
Acetazolamide,Strides Pharma,1
Acetazolamide,Taro Pharm USA,1
Acetazolamide,"Trupharma, LLC.",1
Acetazolamide ER,Accord Healthca,1
Acetazolamide ER,Ahp,1
