Brnd_Name,Gnrc_Name
A & D,Vitamins A And D
A And D,Vits A And D/White Pet/Lanolin
A And D Diaper Rash,"Dimethic/Zinc Ox/Vits A,D/Aloe"
A-Hydrocort,Hydrocortisone Sod Succinate
A-Methapred,Methylprednisolone Sod Succ
Abacavir,Abacavir Sulfate
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine
Abelcet,Amphotericin B Lipid Complex
Abilify Maintena,Aripiprazole
Abilify Mycite,Aripiprazole
Abilify*,Aripiprazole
Abiraterone Acetate,Abiraterone Acetate
Abraxane,Paclitaxel Protein-Bound
Absorica,Isotretinoin
Absorica Ld,"Isotretinoin, Micronized"
Acamprosate Calcium,Acamprosate Calcium
Acanya,Clindamycin Phos/Benzoyl Perox
Acarbose,Acarbose
Accolate,Zafirlukast
Accrufer,Ferric Maltol
Accutane,Isotretinoin
Acebutolol HCl,Acebutolol HCl
Acetadote,Acetylcysteine
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod
Acetaminophen ER,Acetaminophen
Acetaminophen*,Acetaminophen
Acetaminophen-Codeine,Acetaminophen With Codeine
Acetazolamide,Acetazolamide
Acetazolamide ER,Acetazolamide
Acetazolamide Sodium,Acetazolamide Sodium
Acetic Acid*,Acetic Acid
Acetylcysteine*,Acetylcysteine
Acidophilus-Pectin,Lactobacillus Acidophilus/Pect
Aciphex,Rabeprazole Sodium
Acitretin,Acitretin
Actemra Actpen,Tocilizumab
Actemra*,Tocilizumab
Acthar,Corticotropin
Actimmune,"Interferon Gamma-1b,Recomb."
Actiq,Fentanyl Citrate
Activase,Alteplase
Activella,Estradiol/Norethindrone Acet
Actonel,Risedronate Sodium
Actos,Pioglitazone HCl
Acular,Ketorolac Tromethamine
Acular Ls,Ketorolac Tromethamine
Acuvail,Ketorolac Tromethamine/PF
Acyclovir Sodium,Acyclovir Sodium
Acyclovir*,Acyclovir
Aczone,Dapsone
Adacel Tdap,"Diph,Pertuss(Acell),Tet Vac/PF"
Adakveo,Crizanlizumab-Tmca
Adapalene,Adapalene
Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide
Adbry,Tralokinumab-Ldrm
Adcetris,Brentuximab Vedotin
Adcirca,Tadalafil
Adderall,Dextroamphetamine/Amphetamine
Adderall XR,Dextroamphetamine/Amphetamine
Adefovir Dipivoxil,Adefovir Dipivoxil
Adempas,Riociguat
Adenocard,Adenosine
Adenoscan,Adenosine
Adenosine,Adenosine
Adhansia XR,Methylphenidate HCl
Adhesive Tape,Adhesive Tape
Adlyxin,Lixisenatide
Admelog,Insulin Lispro
Admelog Solostar,Insulin Lispro
Adrenalin,Epinephrine
Adrenalin Chloride,Epinephrine HCl
Adriamycin,Doxorubicin HCl
Adrucil,Fluorouracil
Adult Multivitamin Gummies,Multivit-Minerals/Folic Acid
Advair Diskus,Fluticasone Propion/Salmeterol
Advair HFA,Fluticasone Propion/Salmeterol
Advate,"Antihemophil.FVIII,Full Length"
Adynovate,"Antihemo.FVIII,Full Length PEG"
Adzenys ER,Amphetamine
Adzenys XR-ODT,Amphetamine
Aerochamber Plus Flow-Vu,"Inhaler, Assist Devices"
Afinitor,Everolimus
Afinitor Disperz,Everolimus
Afrezza,"Insulin Regular, Human"
Afrin Saline Nasal Mist,Sodium Chloride
Afstyla,"Antihem.FVIII,Sin-Chn,B-DM Tru"
Aggrastat,Tirofiban HCl Monohydrate
Agrylin,Anagrelide HCl
Aimovig Autoinjector,Erenumab-Aooe
Airduo Digihaler,Fluticasone Propion/Salmeterol
Airduo Respiclick,Fluticasone Propion/Salmeterol
Ajovy Autoinjector,Fremanezumab-Vfrm
Ajovy Syringe,Fremanezumab-Vfrm
Ak-Fluor,Fluorescein Sodium
Ak-Poly-Bac,Bacitracin/Polymyxin B Sulfate
Aklief,Trifarotene
Akovaz,Ephedrine Sulfate
Akten,Lidocaine HCl/PF
Akynzeo,Fosnetupitant/Palonosetron
Albendazole,Albendazole
Albenza,Albendazole
Albuked-25,Albumin Human
Albuked-5,Albumin Human
Albumin (Human),Albumin Human
Albuminar-25,Albumin Human
Albuminar-5,Albumin Human
Albuminex,Albumin Human-Kjda
Alburx,Albumin Human
Albutein,Albumin Human
Albuterol Sulfate HFA,Albuterol Sulfate
Albuterol Sulfate*,Albuterol Sulfate
Alcaine,Proparacaine HCl
Alclometasone Dipropionate,Alclometasone Dipropionate
Alcohol Prep Pads,Alcohol Antiseptic Pads
Alcohol Swabs,Alcohol Antiseptic Pads
Alcohol Wipes,Alcohol Antiseptic Pads
"Alcohol,Dehydrated",Ethyl Alcohol
Aldactazide,Spironolact/Hydrochlorothiazid
Aldactone,Spironolactone
Aldurazyme,Laronidase
Alecensa,Alectinib HCl
Alendronate Sodium,Alendronate Sodium
Alfentanil HCl,Alfentanil HCl
Alfuzosin HCl ER,Alfuzosin HCl
Alimta,Pemetrexed Disodium
Aliqopa,Copanlisib Di-HCl
Aliskiren,Aliskiren Hemifumarate
Alkindi Sprinkle,Hydrocortisone
Allergy Relief,Cetirizine HCl
Allergy Relief Nasal Decongest,Cetirizine HCl/Pseudoephedrine
Allopurinol,Allopurinol
Allzital,Butalbital/Acetaminophen
Almotriptan Malate,Almotriptan Malate
Alocril,Nedocromil Sodium
Alogliptin,Alogliptin Benzoate
Alogliptin-Metformin,Alogliptin Benz/Metformin HCl
Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone
Alomide,Lodoxamide Tromethamine
Alora,Estradiol
Alosetron HCl,Alosetron HCl
Aloxi,Palonosetron HCl
Alphagan P,Brimonidine Tartrate
Alphanate,Antihemophilic Factor/VWF
Alphanine SD,Factor IX
Alprazolam,Alprazolam
Alprazolam ER,Alprazolam
Alprazolam Intensol,Alprazolam
Alprazolam ODT,Alprazolam
Alprazolam XR,Alprazolam
Alprolix,"Factor IX Rec, Fc Fusion Protn"
Alprostadil,Alprostadil
Alrex,Loteprednol Etabonate
Altace,Ramipril
Altavera,Levonorgestrel/Ethin.Estradiol
Altoprev,Lovastatin
Altreno,Tretinoin
Alum-Mag Hydroxide-Simethicone,Mag Hydrox/Aluminum Hyd/Simeth
Alunbrig,Brigatinib
Alvesco,Ciclesonide
Alvimopan,Alvimopan
Alyacen,Norethindrone-Ethin. Estradiol
Alyq,Tadalafil
Amabelz,Estradiol/Norethindrone Acet
Amantadine,Amantadine HCl
Amaryl,Glimepiride
Ambien,Zolpidem Tartrate
Ambien Cr,Zolpidem Tartrate
Ambisome,Amphotericin B Liposome
Ambrisentan,Ambrisentan
Amcinonide,Amcinonide
Ameluz,Aminolevulinic Acid HCl
Amerge,Naratriptan HCl
Amethia,L-Norgest/E.Estradiol-E.Estrad
Amethyst,Levonorgestrel/Ethin.Estradiol
