Mftr_Name
Schering-Plough
Bayer Healthcar
Hospira/Pfizer
Hospira
Aurobindo Pharm
Mylan
Rising Pharm
Camber Pharmace
"Cipla USA, Inc."
Burel Pharmaceu
Lupin Pharmaceu
Teva USA
Leadiant Biosci
Otsuka America
Otsuka America*
Amneal Pharmace
West-Ward/Hikma
Northstar Rx Ll
Dr.Reddy'S Lab
Patriot Pharmac
Bluepoint/Oncop
Wockhardt USA L
Apotex Corp
Glenmark Pharma
"Celltrion USA,"
Novadoz Pharmac
Celgene/BMS
Sun Pharmaceuti
Ahp
Zydus Pharmaceu
Bausch Health U
Roxane/West-War
Virtus Pharmace
Strides Pharma
Avet Pharmaceut
Par Pharmaceuti
Shield Therapeu
"Jg Pharma, Inc."
Ani Pharmaceuti
Cumberland Phar
Xspire Pharma
Geri-Care
Pharm Assoc Inc
Sandoz/Premier
Leucadia/Hikma
"Plus Pharma,Inc"
Sandoz
Fresenius Kabi
Akron Pharma In
Mylan Instituti
Rugby
Baxter Healthca
Auromedics-Eugi
B.Braun
Hi-Tech/Akorn C
Mallinckrodt Ph
Eywa Pharma Inc
Qualitest/Par P
Avpak
Novitium/Ani Ph
Lannett Co. Inc
"Trupharma, LLC."
Major Pharmaceu
Lifestar Pharma
Taro Pharm USA
Advagen Pharma
Breckenridge
"Micro Labs USA,"
Accord Healthca
Ingenus Pharmac
Nostrum Laborat
X-Gen/Novaplus
X-Gen Pharmaceu
Morton Grove Ph
Icu Medical Inc
Amer. Regent
Sagent Pharmace
Perrigo/Padagis
Paddock/Novaplu
Fresenius Kabi*
App/Fresenius K
Akorn Inc.
Eisai/ Woodward
Woodward Pharma
Sigmapharm Labo
Prasco Labs
"Genentech, Inc."
"Genentech, Inc.*"
Horizon Therape
Actavis/Allerga
Takeda Pharmace
Allergan Inc.
Auromedics-Nova
Fougera/Sandoz
Carlsbad Tech
Alembic Pharmac
Mylan*
Cosette Pharmac
Quinn Pharmaceu
Yiling Pharmace
Tolmar Inc.
"Xiromed, LLC"
Zydus Pharmaceu*
Teva USA*
Ranbaxy/Sun Pha
Torrent Pharmac
Bionpharma Inc.
Viona Pharmaceu*
Actavis/Teva*
Ranbaxy Pharmac
Padagis
Vistapharm/Pai
Nivagen Pharmac
Allerg/Almirall
Sanofi-Pasteur
Novartis
Mayne Pharma In
Actavis/Teva
Viona Pharmaceu
Leo Pharma Inc.
Seagen Inc.
Eli Lilly & Co.
Shire US Inc.
"Bayer,Pharm Div"
Astellas Pharma
Teva Parenteral
Mylan Inst-Nova
Akorn/Novaplus
Adlon Therapeut
Sm-Strategic So
Sanofi-Aventis
Par Pharm-Novap
Par/Premier Pro
West-Ward/Hi-No
"US Nutrition, I"
Glaxosmithkline
Baxalta US Inc.
Neos Brands/Ayt
Mannkind Corpor
S-P Healthcare
CSL Behring LLC
Medicure Intern
Amgen
Teva Specialty
Galderma Labora
Exela Pharma Sc
Akorn Inc/Thea
Helsinn Therape
Edenbridge Phar
Kedrion Biophar
Octapharma USA
Aventis Behring
Bio Products La
Grifols
"Civica, Inc."
Exelan Pharmace
Par Pharm.
Quagen Pharmace
Mylan Specialty
Ritedose Pharma
Vistapharm
Hi-Tech/Akorn C*
Nephron Corp
Sun Pharma Glob
Chartwell Rx Ll
Mutual Pharm Co
Alcon Laborator
Leader
Perrigo Diabete
Pharmaci/Pfizer
Genzyme
Tagi Pharma
Actavis/Impax G
Unichem Pharmac
Eton Pharmaceut
Ohm Labs.
Mckesson Packag
Arise Pharmaceu
Larken Labs
Ajanta Pharma L
Alcon/Novartis
Eisai Inc./Hels
Dava Pharmaceut
Greenstone LLC.
Bioverativ Ther
Bausch & Lomb I
Monarch Phrm
Covis Pharma
Jubilant Cadist
Upsher-Smith La
Upsher Smith La
Biofrontera Inc
Clover Pharmace
Avet/Novaplus
Vitruvias Thera
Biocon Pharma I
Leading Pharma
Hospira-Novaplu
Hospira/Icu Med
Cameron Pharmac
Sky Pharmaceuti
Macleods Pharma
Legacy Pharmace
Ascend Laborato
Aci Healthcare
Caraco/Sun Phar
Oxford Pharmace
Epic Pharma LLC
Bluepoint Labor
Greenstone/Pras
Sarepta Therape
Amphastar Pharm
Wilshire Pharma
Solco Healthcar
Granules Pharma
Sandoz*
Xellia Pharmace
Athenex Pharmac
WG Critical Car
Sandoz/Novaplus*
Piramal Critica
Meitheal Pharma
Hospira/Pfizer*
Acorda Therapeu
Alnylam Pharmac
Journey Medical
Vyne/Journey
B.F Ascher & Co
Alexion/Astraze
Abbvie US LLC
Sandoz/Novaplus
Medicine/Sandoz
"Baudax Bio, Inc"
Therapeuticsmd
Lupin Pharma
Casper Pharma L
Salix Pharmaceu
US World/Supern
Viiv Healthcare
Rhodes Pharmace
