Mftr_Name,2018 Medicaid Spend,2018 Medicaid Units Produced,2019 Medicaid Spend,2019 Medicaid Units Produced,2020 Medicaid Spend,2020 Medicaid Units Produced,2021 Medicaid Spend,2021 Medicaid Units Produced,2022 Medicaid Spend,2022 Medicaid Units Produced
Aadi Bioscience,$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$225,548.79",46.0
Aaipharma,$0.00,0.0,"$19,514.74",220.0,"$53,112.52",470.0,"$88,636.79",820.0,"$107,466.61",780.0
Abbott Hosp,$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,3092.0,"$2,818.67",8021.0
Abbott Nutritio,$731.40,153298.0,$595.85,165000.0,"$2,352.33",468002.0,$218.57,55000.0,$723.80,141000.0
Abbvie US LLC,"$3,425,209,731.49",95919984.0,"$3,901,336,263.53",91504121.0,"$4,187,158,324.49",90491329.0,"$5,401,738,604.23",97041521.0,"$6,456,710,171.82",97026548.0
Abbvie US LLC*,"$30,543,298.22",305177.0,"$32,404,653.73",363838.0,"$43,998,214.74",369080.0,"$74,129,931.22",311379.0,"$167,367,017.37",285707.0
Acacia Pharma,$0.00,0.0,$0.00,0.0,$0.00,0.0,$577.39,9.0,"$5,022.56",49.0
Acadia Pharmace,"$3,681,202.30",77462.0,"$5,322,576.44",55166.0,"$7,243,375.46",62615.0,"$7,637,602.76",60624.0,"$9,504,574.81",65526.0
Accord Biopharm,$0.00,0.0,$0.00,0.0,"$24,216.34",3129.0,"$186,385.49",91224.0,"$580,903.11",107182.0
Accord Healthca,"$208,066,733.35",629040548.0,"$226,256,367.80",691790790.0,"$221,202,465.86",701860872.0,"$244,988,915.60",764148768.0,"$265,098,430.93",797526298.0
Accord Healthca*,"$25,873,326.69",33548761.0,"$27,427,501.40",33507899.0,"$19,796,702.15",19860336.0,"$19,558,355.19",21608077.0,"$21,279,752.68",21824393.0
Accord-Novaplus,"$143,265.57",2536.0,"$177,539.31",3567.0,"$177,616.77",4747.0,"$187,603.89",2140.0,"$68,221.96",1342.0
Acella Pharmace,"$9,185,815.53",43465222.0,"$16,043,901.89",96178336.0,"$15,540,997.29",85209235.0,"$17,837,413.89",92559138.0,"$24,950,719.90",154509499.0
Acella Pharmace*,"$126,209.41",428423.0,"$453,713.52",1454803.0,"$471,050.66",1445286.0,"$983,583.79",2784006.0,"$1,406,670.88",3862847.0
Acelrx Pharmace,$0.00,0.0,$0.00,0.0,$0.00,0.0,$813.39,21.0,"$1,055.16",34.0
Acerus Pharma,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$74,837.09",1947.0,"$256,368.87",6610.0
Aci Healthcare,"$11,261,935.80",53252455.0,"$25,168,596.34",149225940.0,"$17,018,467.63",126132958.0,"$13,524,278.32",98255933.0,"$14,615,082.07",93065101.0
Acorda Therapeu,"$33,317,652.36",851031.0,"$9,624,529.77",234181.0,"$7,924,739.71",186804.0,"$6,651,674.53",154120.0,"$5,588,312.84",132640.0
Acrotech Biopha,$0.00,0.0,$0.00,0.0,"$294,274.22",6853.0,"$735,601.40",561.0,"$1,518,943.42",1426.0
Actavis Mid Atl,$0.00,0.0,$0.00,0.0,$0.00,0.0,$217.54,821.0,$82.54,342.0
Actavis Pharma,"$77,615.45",852524.0,"$8,306.66",26722.0,"$1,868.84",1633.0,$559.33,59.0,"$12,629.71",5363.0
Actavis U.S. Br,"$4,096,236.83",6571.0,"$2,070,874.45",3086.0,"$501,734.47",740.0,"$129,938.12",200.0,"$33,852.67",53.0
Actavis/Allerga,"$47,764,958.24",9664548.0,"$49,915,723.00",9766113.0,"$59,919,209.45",11292591.0,"$72,545,341.27",13198867.0,"$81,018,427.98",14174377.0
Actavis/Allerga*,"$2,461,492.16",523102.0,"$897,295.38",187559.0,"$417,192.41",61790.0,"$457,289.12",72957.0,"$290,302.41",64160.0
Actavis/Impax G,"$5,007,499.64",4459286.0,"$285,306.27",665642.0,"$34,326.19",110022.0,"$29,906.43",178246.0,"$6,653.82",9555.0
Actavis/Mayne P,"$41,550.06",108255.0,"$2,780.77",10318.0,$112.96,2199.0,$0.00,0.0,"$1,781.71",3315.0
Actavis/Teva,"$763,754,844.75",1218669998.0,"$585,540,611.17",935401671.0,"$447,382,248.00",852600100.0,"$307,311,928.75",684132500.0,"$252,910,875.99",639724640.0
Actavis/Teva*,"$15,141,143.90",97671234.0,"$11,413,363.44",59354870.0,"$5,632,610.02",27308678.0,"$3,496,670.14",16175836.0,"$3,844,323.73",12351791.0
Actelion Pharma,"$151,816,614.72",832598.0,"$161,378,525.63",831668.0,"$169,879,654.38",770545.0,"$180,345,063.41",772508.0,"$201,778,313.50",764711.0
Actelion Pharma*,"$77,144,738.08",354912.0,"$104,233,765.82",451711.0,"$137,199,199.22",546068.0,"$174,525,324.03",649236.0,"$215,354,669.67",770655.0
"Adamas Pharma,",$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$14,046.21",870.0
Adapt Pharma In,"$26,565,999.40",46464.0,"$47,660,406.32",81139.0,"$58,074,435.58",99487.0,"$71,120,542.59",122887.0,"$22,440,382.01",40107.0
Adare Pharmaceu,"$27,473.24",66878.0,"$157,057.09",394160.0,"$52,034.12",146001.0,"$10,607.24",33530.0,"$2,379.97",7703.0
Adc Therapeutic,$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$1,550,447.95",71.0
Adlon Therapeut,$0.00,0.0,"$104,870.07",10710.0,"$1,100,255.06",109021.0,"$3,283,510.31",309483.0,"$2,632,099.12",234745.0
"Adma Biologics,",$0.00,0.0,$0.00,0.0,"$71,601.05",4648.0,"$360,796.24",21340.0,"$4,135,088.50",283191.0
Advagen Pharma,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$373,107.17",3320712.0,"$7,318,602.02",36347634.0
Advanced Accele,$0.00,0.0,"$1,589,573.06",661.0,"$2,907,406.61",6116.0,"$5,035,753.91",1591.0,"$2,575,543.86",2349.0
"Afaxys, Inc.","$6,917,645.36",6299866.0,"$7,604,456.09",6889012.0,"$8,445,484.46",6370346.0,"$7,729,552.65",7600647.0,"$6,330,594.50",7023595.0
Affordable Phar,"$1,145,049.71",320472519.0,"$1,368,741.32",343681347.0,"$1,733,579.90",443942611.0,"$2,105,486.08",522066444.0,"$3,754,843.62",572698980.0
Agile Therapeut,$0.00,0.0,$0.00,0.0,"$2,428.93",45.0,"$1,442,303.07",24540.0,"$4,554,498.72",76202.0
Agios Pharmaceu,"$571,827.95",1380.0,"$4,064,957.39",9326.0,"$6,758,951.20",15650.0,"$9,367,326.63",20630.0,"$5,384,919.13",11270.0
Ahp,"$6,824,294.79",2220771.0,"$57,256,765.87",2999258.0,"$79,127,158.51",2758384.0,"$100,006,359.99",2343317.0,"$96,260,116.60",2774084.0
Aimmune Therape,$0.00,0.0,$0.00,0.0,"$50,240.20",894.0,"$387,015.16",10681.0,"$607,428.43",20268.0
Ajanta Pharma L,"$60,347,361.65",71500890.0,"$62,631,727.77",85866745.0,"$71,635,635.25",112828914.0,"$81,920,644.89",130309797.0,"$116,449,565.80",189039802.0
"Akarx, Inc.","$1,059,871.51",1155.0,"$2,641,298.48",4705.0,"$6,293,626.37",18863.0,"$9,534,085.87",28222.0,"$14,628,677.91",40353.0
Akcea Therapeut,$0.00,0.0,"$1,067,634.93",186.0,"$1,151,499.92",198.0,"$1,687,176.64",282.0,"$1,561,765.23",258.0
Akorn Inc.,"$38,824,378.50",15396178.0,"$35,846,114.03",13339420.0,"$33,202,615.43",12787154.0,"$36,387,107.22",12088862.0,"$33,386,207.62",21533840.0
Akorn Inc.*,"$1,290,591.65",203968.0,"$1,114,151.24",102420.0,"$756,573.20",72757.0,"$1,963,963.77",236686.0,"$845,003.02",119443.0
Akorn Inc/Thea,"$1,574,007.73",258702.0,"$1,865,917.17",172532.0,"$1,987,166.28",145276.0,"$2,063,667.53",140332.0,"$1,863,436.63",142529.0
Akorn/Novaplus,"$4,945.36",1130.0,"$7,154.05",735.0,"$60,467.75",1476.0,"$67,776.04",1761.0,"$34,011.03",929.0
Akron Pharma In,$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$4,907.65",46091.0
Albireo Pharma,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$1,060,127.89",1740.0,"$9,190,951.29",21000.0
Alcon Consumer,"$5,329.47",18828.0,"$4,128.50",16592.0,"$20,293.54",18778.0,"$24,524.46",18585.0,"$2,033.08",12371.0
Alcon Laborator,"$3,897,325.01",199237.0,"$10,062,103.77",312704.0,"$13,592,009.06",308258.0,"$16,672,585.00",351697.0,"$21,816,603.19",355562.0
Alcon Surgical,"$252,705.83",114877.0,"$1,471,749.47",337472.0,"$2,102,323.15",357871.0,"$2,564,099.37",468570.0,"$3,605,913.44",455331.0
Alcon/Eyevance,"$159,123.50",5930.0,"$428,987.22",20870.0,"$405,806.59",18760.0,"$114,958.90",3375.0,"$11,438.12",435.0
Alcon/Imprimis,"$3,863,642.92",68666.0,"$6,042,916.66",107685.0,"$2,459,180.24",43299.0,"$249,123.74",3405.0,"$119,078.56",880.0
Alcon/Novartis,"$243,591,067.79",7486071.0,"$262,138,658.17",7008180.0,"$202,297,082.73",5023229.0,"$41,007,025.38",1051659.0,"$14,669,048.31",410099.0
Alembic Pharmac,"$41,296,046.75",110864337.0,"$38,100,953.07",76402559.0,"$67,030,875.14",109575753.0,"$66,843,341.21",115859060.0,"$81,815,815.19",186277460.0
Alembic Pharmac*,"$210,334.22",157632.0,"$323,195.91",216088.0,"$382,489.80",321015.0,"$576,397.17",346735.0,"$944,573.26",324369.0
Alexion Pharmac,"$195,945,863.36",41037.0,"$209,715,819.15",75224.0,"$267,304,504.93",246288.0,"$301,472,686.55",172471.0,"$328,277,857.47",109202.0
Alexion/Astraze,$0.00,0.0,$0.00,0.0,"$162,424.24",666.0,"$292,913.11",1523.0,"$294,322.52",1589.0
Alimera Science,"$2,289,320.82",307.0,"$2,920,039.49",437.0,"$2,122,032.65",295.0,"$2,130,630.55",328.0,"$2,067,100.33",437.0
Alkermes Inc,"$360,072,640.68",362902.0,"$425,078,132.73",425635.0,"$493,353,865.29",512488.0,"$585,683,476.93",618265.0,"$663,028,134.38",1628566.0
Allegis Pharmac,"$15,595,605.30",8888603.0,"$12,636,953.27",6959935.0,"$9,646,833.78",5661644.0,"$6,856,233.77",3802578.0,"$7,815,338.97",4228783.0
Allerg/Almirall,"$15,692,696.50",1390238.0,"$15,592,845.20",1248616.0,"$7,706,622.32",571856.0,"$1,706,234.20",120762.0,"$259,672.47",18206.0
Allergan Inc.,"$590,164,429.79",36048001.0,"$782,465,811.63",39825092.0,"$1,110,077,175.21",48835943.0,"$1,442,672,266.24",57382937.0,"$1,672,487,410.72",58408350.0
Allergan/Botox,"$178,068,686.99",257902.0,"$178,538,940.55",267826.0,"$174,570,442.98",250356.0,"$212,139,897.08",303887.0,"$229,674,780.75",539084.0
Allergan/Nestle,"$53,462,923.85",9474722.0,"$87,075,449.27",14600770.0,"$99,673,055.98",15420061.0,"$60,016,469.10",8909077.0,"$2,917,327.12",416623.0
Allergan/Verity,"$1,441,617.92",1599.0,"$1,530,492.13",1405.0,"$1,504,802.23",1561.0,"$552,130.19",778.0,"$117,800.69",216.0
"Almaject, Inc",$0.00,0.0,$0.00,0.0,"$52,648.30",8411.0,"$1,493,644.70",105537.0,"$2,989,786.94",140210.0
"Almaject, Inc*",$0.00,0.0,$0.00,0.0,"$2,799,925.76",85010.0,"$16,980,288.60",332128.0,"$19,066,825.07",378370.0
Almatica Pharma,"$5,351,438.84",460730.0,"$2,165,909.55",214673.0,"$1,225,494.12",150236.0,"$4,771,464.33",535006.0,"$11,768,168.38",1634678.0
Alnylam Pharmac,$0.00,0.0,"$2,537,547.16",1530.0,"$7,042,538.51",2014.0,"$19,857,828.62",2856.0,"$25,521,230.00",2947.0
Alvogen Inc,"$205,103,429.22",122444330.0,"$174,987,332.84",125342337.0,"$270,024,986.79",146925265.0,"$245,765,332.54",139275133.0,"$257,661,892.31",161814438.0
Alvogen Inc*,"$7,409,733.35",1540153.0,"$11,650,442.83",9033749.0,"$8,369,906.60",5315452.0,"$8,781,617.45",887274.0,"$4,845,031.53",3066538.0
Amag/Covis Phar,"$43,337,321.23",420164.0,"$19,334,730.33",575199.0,"$20,978,675.15",621331.0,"$23,773,250.12",669098.0,"$12,404,768.90",391900.0
Amag/Covis Phar*,"$221,938,915.61",289495.0,"$172,265,253.72",237325.0,"$133,665,873.29",186124.0,"$110,217,706.58",154668.0,"$89,145,060.94",127884.0
Amarin Pharma I,"$7,882,788.29",3720501.0,"$14,662,285.58",6160048.0,"$27,691,983.37",10786729.0,"$27,721,894.87",10438337.0,"$19,100,416.31",6763833.0
Amer. Regent,"$103,779,760.99",4434694.0,"$150,103,287.68",4810007.0,"$110,684,246.04",4605262.0,"$120,730,660.45",6389795.0,"$113,877,992.83",6884498.0
Amer. Regent*,"$389,845.70",3001.0,"$879,492.16",13356.0,"$356,674.19",3519.0,"$73,057.94",3216.0,"$73,234.54",1100.0
American Reg-No,$0.00,0.0,$0.00,0.0,"$33,198.89",2299.0,"$69,972.02",3079.0,"$117,878.10",4651.0
Amerigen Pharma,"$380,374.75",367250.0,"$8,649,212.01",6717390.0,"$3,516,283.63",2935107.0,"$326,066.34",332688.0,"$86,833.12",88145.0
Amerigen/Ani Ph,$0.00,0.0,$0.00,0.0,"$2,508,164.00",1921363.0,"$5,995,447.56",5806282.0,"$4,666,752.70",4974276.0
Amerisource-Gnp,"$32,973.86",2336222.0,"$52,710.96",2056515.0,"$74,732.23",1840127.0,"$89,625.56",2518770.0,"$89,590.82",2236209.0
Amgen,"$1,834,241,141.84",6085619.0,"$1,754,880,588.86",4708426.0,"$1,983,558,170.42",5859348.0,"$2,258,010,306.63",8375958.0,"$2,313,424,610.34",9441680.0
Amgen USA Inc.,"$248,081.73",1101.0,"$8,288,268.54",38529.0,"$22,906,608.90",110278.0,"$35,387,141.27",161000.0,"$54,524,358.04",231033.0
Amici Pharmaceu,"$8,054.04",1202.0,"$102,971.88",43256.0,"$823,309.38",2652594.0,"$1,761,088.27",7768930.0,"$2,689,253.52",10409517.0
Amicus Therapeu,$0.00,0.0,"$1,414,238.31",798.0,"$3,120,811.81",1736.0,"$3,623,773.10",1960.0,"$4,870,692.51",2506.0
Amneal Bio-Nova,$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$74,190.63",4299.0
Amneal Bioscien,"$1,521,551.95",162061.0,"$4,385,203.95",366975.0,"$5,125,910.60",613588.0,"$6,524,178.95",490377.0,"$9,120,670.73",586208.0
Amneal Pharmace,"$619,807,136.13",1366044452.0,"$640,872,211.19",1226947792.0,"$686,632,503.08",1340541804.0,"$756,263,936.27",1469856703.0,"$736,957,045.85",1536897010.0
Amneal Pharmace*,"$5,016,813.56",1000541.0,"$7,718,714.09",990183.0,"$9,192,131.74",1070617.0,"$6,120,228.01",966525.0,"$2,809,402.12",530866.0
Amneal/Premier,$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$28,333.14",1525.0
Amphastar Pharm,"$17,493,217.60",1135634.0,"$23,284,803.41",1247953.0,"$21,563,238.33",811467.0,"$42,111,578.59",979326.0,"$45,263,334.78",1051164.0
Amphastar/Novap,$0.00,0.0,"$123,986.57",2188.0,"$1,180,509.55",22371.0,"$1,474,041.09",25945.0,"$1,401,992.48",29629.0
Amring Pharmace,"$2,200,878.59",423220.0,"$3,182,254.72",583481.0,"$6,506,037.13",1379454.0,"$6,272,132.74",1775969.0,"$5,531,739.87",2110599.0
Amring Pharmace*,"$10,266,482.73",9532614.0,"$8,880,159.65",8422668.0,"$4,974,229.34",3986022.0,"$3,198,753.84",2537760.0,"$2,667,461.59",2214094.0
Amring/Novaplus,$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$12,679.71",154.0
Amring/Premierp,$0.00,0.0,$0.00,0.0,"$122,171.76",4883.0,"$383,464.90",8729.0,"$499,737.92",4863.0
Amryt Pharmaceu,"$25,933,053.54",8935.0,"$34,275,429.64",10086.0,"$38,096,313.29",10118.0,"$48,274,137.50",12490.0,"$48,946,822.92",11814.0
Amylyx Pharmace,$0.00,0.0,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$164,176.08",728.0
"Analog Pharma,",$0.00,0.0,"$1,014,173.63",201253.0,"$1,993,688.83",496150.0,"$2,252,095.51",615957.0,"$2,765,810.63",897522.0
Ani Phar/Prasco,$0.00,0.0,$0.00,0.0,"$843,589.09",5249287.0,"$2,593,528.39",17168120.0,"$1,812,049.57",12872497.0
Ani Pharmaceuti,"$30,153,790.99",27018761.0,"$37,871,856.78",36497759.0,"$51,615,914.72",41416520.0,"$66,829,309.45",48201891.0,"$66,976,298.35",49399659.0
Ani Pharmaceuti*,"$1,786,549.68",4592473.0,"$4,129,427.87",7107786.0,"$4,409,479.99",9227070.0,"$6,247,709.71",11633156.0,"$5,659,418.79",11142789.0
Antares Pharma,$0.00,0.0,"$446,611.97",1852.0,"$1,702,727.87",6911.0,"$3,243,512.31",12488.0,"$5,248,602.16",32516.0
Antares/Otter,"$2,417,490.56",6520.0,"$2,636,853.90",6716.0,"$2,815,434.14",7018.0,"$2,782,108.36",7050.0,"$2,858,855.18",6854.0
Apellis Pharmac,$0.00,0.0,$0.00,0.0,$0.00,0.0,"$1,962,474.59",8880.0,"$6,553,448.32",29560.0
"Apnar Pharma, L","$194,275.45",900104.0,"$275,342.53",1210695.0,"$56,472.27",591594.0,"$817,989.65",5023434.0,"$455,141.31",1852238.0
Apollo/Provepha,$0.00,0.0,"$46,168.41",19070.0,"$429,353.47",114910.0,"$1,066,688.71",139799.0,"$2,072,848.16",121874.0
Apopharma/Chies,"$21,258,932.15",462778.0,"$28,399,358.31",583423.0,"$27,389,794.31",516457.0,"$10,917,479.39",220480.0,"$1,598,200.91",41802.0
