Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Outlier_Flag_2022,Chg_Avg_Spnd_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
A & D,Vitamins A And D,1,Schering-Plough,252.22,36845.0,84.0,0.0068454336,3.0026190476,1.0,770.31,51334.454,121.0,0.0150057114,6.3661983471,1.0,322.51,15751.8,41.0,0.0204744855,7.866097561,1.0,253.76,9136.0,26.0,0.0277758319,9.76,1.0,129.83,5884.5,17,0.022063047,7.6370588235,1,-0.205674664,0.3398807027
A And D,Vits A And D/White Pet/Lanolin,1,Bayer Healthcar,213.7,2113.7,28.0,0.1011023324,7.6321428571,1.0,79.36,1102.0,17.0,0.0720145191,4.6682352941,1.0,138.49,1483.5,19.0,0.0933535558,7.2889473684,1.0,106.45,1032.708,14.0,0.1030785082,7.6035714286,1.0,286.3,1113.5,17,0.257117198,16.841176471,1,1.4943822202,0.262823014
A And D Diaper Rash,"Dimethic/Zinc Ox/Vits A,D/Aloe",1,Bayer Healthcar,0.0,0.0,0.0,0.0,0.0,0.0,90.59,1221.433,15.0,0.0741669826,6.0393333333,1.0,204.19,1675.5,27.0,0.1218680991,7.5625925926,1.0,67.04,905.0,21.0,0.0740773481,3.1923809524,1.0,45.45,1365.5,25,0.0332845112,1.818,1,-0.550678959,-0.23438484
A-Hydrocort,Hydrocortisone Sod Succinate,1,Hospira/Pfizer,20449.42,66.0,62.0,309.83969697,329.82935484,1.0,2562.91,38.0,35.0,67.445,73.226,1.0,32241.56,72.0,77.0,447.79944444,418.72155844,1.0,296.81,50.0,45.0,5.9362,6.5957777778,1.0,2868.81,22.0,20,130.40045455,143.4405,1,20.966991433,-0.194555702
A-Methapred,Methylprednisolone Sod Succ,1,Hospira,298521.69,325.0,222.0,631.84774972,1344.6922973,1.0,362575.42,284.125,186.0,1609.4297323,1949.3302151,1.0,11201.99,143.0,119.0,73.264304143,94.134369748,1.0,11953.96,48.0,43.0,248.91229406,277.99906977,1.0,9194.75,44.44,22,162.2728569,417.94318182,1,-0.348072149,-0.28811743
Abacavir,Abacavir Sulfate,1,Aurobindo Pharm,797561.76,339318.0,5945.0,2.3504846781,134.15673003,0.0,548789.8,221010.0,3939.0,2.4830994073,139.32211221,0.0,351798.78,161801.0,2823.0,2.1742682678,124.61876727,0.0,304231.4,143610.0,2522.0,2.1184555393,120.63100714,0.0,250709.32,111463.0,1987,2.2492604721,126.17479618,0,0.0617454227,-0.010944684
Abacavir,Abacavir Sulfate,1,Mylan,299723.28,132594.0,2341.0,2.2604588443,128.0321572,0.0,439768.24,172968.0,3030.0,2.5424832339,145.138033,0.0,269930.63,123104.0,2070.0,2.1927039739,130.40127053,0.0,182400.42,90072.0,1491.0,2.0250512923,122.33428571,0.0,119247.65,60086.0,987,1.9846162168,120.81828774,0,-0.019967433,-0.032011979
Abacavir,Abacavir Sulfate,1,Rising Pharm,98501.16,203422.0,387.0,0.4842207824,254.52496124,0.0,216513.65,426251.0,863.0,0.5079487204,250.88487833,0.0,197801.95,411857.0,836.0,0.4802685155,236.60520335,0.0,200224.21,411586.0,866.0,0.4864699237,231.20578522,0.0,181824.28,388463.0,854,0.4680607419,212.90899297,0,-0.037842384,-0.00844982
Abacavir,Abacavir Sulfate,1,Camber Pharmace,973393.47,873745.0,5716.0,2.1218893923,170.29276942,0.0,958500.38,677438.0,6004.0,2.2572748951,159.64363424,0.0,765686.7,582187.294,5700.0,1.8732126955,134.331,0.0,611065.24,524723.0,4663.0,1.7617022647,131.04551576,0.0,351639.08,344992.0,2916,1.5864928167,120.58953361,0,-0.099454631,-0.070115857
Abacavir,Abacavir Sulfate,1,"Cipla USA, Inc.",43062.43,20833.0,352.0,2.0670297125,122.33644886,0.0,178710.77,80803.0,1383.0,2.2116848384,129.2196457,0.0,133369.15,77992.0,1364.0,1.7100362858,97.777969208,0.0,108419.38,66025.0,1151.0,1.6420958728,94.195812337,0.0,93141.39,60787.0,994,1.5322583776,93.70361167,0,-0.066888601,-0.07211037
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Burel Pharmaceu,0.0,0.0,0.0,0.0,0.0,0.0,693236.05,89967.0,2985.0,7.7054481088,232.23988275,0.0,434910.92,57128.0,1821.0,7.6129204593,238.83081823,0.0,78970.21,11778.0,380.0,6.7048913228,207.81634211,1.0,5020.8,750.0,25,6.6944,200.832,1,-0.001564727,-0.04580328
