Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Avg_Spnd_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Chg_Avg_Spnd_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,Owen Mumford Us,167193.78,761658,6538,2341,0.219784789,25.57261854,71.41981205,0,139201.68,642471,5392,1878,0.216787924,25.81633531,74.12230032,0,118923.24,547006,4457,1595,0.217701046,26.68235136,74.56002508,0,102280.76,459384,3708,1313,0.223001254,27.58380798,77.89852247,0,70039.61,310304,2501,1147,0.225873987,28.00464214,61.06330427,0,0.012882138,0.006855499
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,Owen Mumford Us,369402.85,1813908,14931,5674,0.203657836,24.74066372,65.10448537,0,343031.42,1830596,14581,5319,0.187388804,23.52591866,64.49171273,0,210217.15,1046616,8408,3905,0.200851195,25.00203972,53.8328169,0,131927.33,566872,4564,1766,0.232811541,28.90607581,74.70403737,0,114601.54,486206,3846,1474,0.235707834,29.7975923,77.74867029,0,0.012440507,0.037213649
Abacavir,Abacavir Sulfate,1,Mylan,1468380.35,329353,5307,1493,4.458378548,276.68746,983.5099464,0,1937920.78,500896,7984,1505,3.868908476,242.7255486,1287.655003,0,1670937.94,414685,6225,1246,4.029414954,268.4237655,1341.041685,0,1040794.94,285628,4154,842,3.643882743,250.5524651,1236.098504,0,957143.18,217586,3116,595,4.398918956,307.1704686,1608.644,0,0.207206507,-0.003350955
Abacavir,Abacavir Sulfate,1,Rising Pharm,88001.92,175280,263,62,0.502064811,334.6080608,1419.385807,0,142257.84,312210,433,77,0.455647929,328.5400462,1847.504416,0,134219.38,284470,452,64,0.471822618,296.945531,2097.177813,0,123118.64,262650,437,65,0.46875553,281.7360183,1894.132923,0,92432.25,196887,350,49,0.469468528,264.0921429,1886.372449,0,0.001521043,-0.016641955
Abacavir,Abacavir Sulfate,1,"Cipla USA, Inc.",227189.15,50997,832,241,4.454951272,273.0638822,942.6935685,0,698311.33,192395,3311,698,3.629571091,210.9064724,1000.446032,0,758387.24,201025,3347,665,3.772601617,226.5871646,1140.43194,0,650297.1,204718,3276,651,3.17655067,198.5033883,998.9202765,0,841670.56,282627,3500,705,2.97802602,240.4773029,1193.85895,0,-0.062496925,-0.095785676
Abacavir,Abacavir Sulfate,1,Major Pharmaceu,18653.71,4401,82,21,4.238516246,227.4842683,888.2719048,0,9639.18,2474,44,16,3.896192401,219.0722727,602.44875,1,2218.37,1008,17,0,2.200763889,130.4923529,0,1,8247.76,1889,39,0,4.366204341,211.4810256,0,1,2507.96,619,23,0,4.051631664,109.0417391,0,1,-0.072047172,-0.01121009
Abacavir,Abacavir Sulfate,1,Camber Pharmace,4230093.55,1413429,16765,3360,3.601426336,252.316943,1258.956414,0,4234275.07,1473874,17795,3305,3.194917806,237.9474611,1281.172487,0,4217073.33,1343347,16120,2951,3.38849735,261.6050453,1429.031965,0,3098891.42,1109140,12954,2373,3.032181378,239.2227436,1305.896089,0,3116371.97,846204,9763,1767,4.090995469,319.2022913,1763.65137,0,0.349192202,0.032377702
Abacavir,Abacavir Sulfate,1,Aurobindo Pharm,4621104.64,1061307,17139,3336,4.354163913,269.625103,1385.223213,0,3097563.43,836918,13106,2299,3.701155227,236.3469731,1347.352514,0,2415760.81,715751,10958,1757,3.375141369,220.4563616,1374.935009,0,2114714.13,636792,9667,1549,3.320886773,218.7559874,1365.212479,0,1935437.79,491183,7565,1155,3.940359886,255.8410826,1675.703714,0,0.186538463,-0.024656085
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,Lupin Pharmaceu,4837959.11,434734,14396,2559,11.12855013,336.0627334,1890.56628,1,3869971.45,333466,10504,1850,11.60529544,368.4283559,2091.87646,0,4155363.86,369520,10831,1929,11.24530164,383.6546819,2154.154412,1,2333229.56,255790,7346,1216,9.121660581,317.6190526,1918.774309,1,2092414.42,167358,4901,924,12.50262563,426.9362212,2264.517771,0,0.370652363,0.029533921
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,1,"Cipla USA, Inc.",6073233.32,552209,17484,3232,10.99807015,347.3594898,1879.094468,1,5147233.64,502897,14962,2625,10.23516474,344.0204278,1960.850911,0,2201494.1,203610,5979,1511,10.81230834,368.2043987,1456.978226,1,3574313.32,451517,12337,2013,7.916231991,289.7230542,1775.615162,1,5578396.02,499620,12927,2138,11.16527765,431.5305964,2609.165585,0,0.410428303,0.003779358
